ninodes       = 32768
nzones        = 16384
imap_blocks   = 2
zmap_blocks   = 1
firstdatazone = 517
log_zone_size = 0
maxsize       = 2147483647
block size    = 4096


 inode permission link   size name
   103 brw-------   1    3,10 /dev/c0d3p0
   104 brw-------   1    3,b0 /dev/c0d3p0s0
   105 brw-------   1    3,b1 /dev/c0d3p0s1
   106 brw-------   1    3,b2 /dev/c0d3p0s2
   107 brw-------   1    3,b3 /dev/c0d3p0s3
   108 brw-------   1    3,11 /dev/c0d3p1
   109 brw-------   1    3,b4 /dev/c0d3p1s0
   110 brw-------   1    3,b5 /dev/c0d3p1s1
   111 brw-------   1    3,b6 /dev/c0d3p1s2
   112 brw-------   1    3,b7 /dev/c0d3p1s3
   113 brw-------   1    3,12 /dev/c0d3p2
   114 brw-------   1    3,b8 /dev/c0d3p2s0
   115 brw-------   1    3,b9 /dev/c0d3p2s1
   116 brw-------   1    3,ba /dev/c0d3p2s2
   117 brw-------   1    3,bb /dev/c0d3p2s3
   118 brw-------   1    3,13 /dev/c0d3p3
   119 brw-------   1    3,bc /dev/c0d3p3s0
   120 brw-------   1    3,bd /dev/c0d3p3s1
   121 brw-------   1    3,be /dev/c0d3p3s2
   122 brw-------   1    3,bf /dev/c0d3p3s3
   123 brw-------   1    3,14 /dev/c0d4
   124 brw-------   1    3,15 /dev/c0d4p0
   125 brw-------   1    3,c0 /dev/c0d4p0s0
   126 brw-------   1    3,c1 /dev/c0d4p0s1
   127 brw-------   1    3,c2 /dev/c0d4p0s2
   128 brw-------   1    3,c3 /dev/c0d4p0s3
   129 brw-------   1    3,16 /dev/c0d4p1
   130 brw-------   1    3,c4 /dev/c0d4p1s0
   131 brw-------   1    3,c5 /dev/c0d4p1s1
   132 brw-------   1    3,c6 /dev/c0d4p1s2
   133 brw-------   1    3,c7 /dev/c0d4p1s3
   134 brw-------   1    3,17 /dev/c0d4p2
   135 brw-------   1    3,c8 /dev/c0d4p2s0
   136 brw-------   1    3,c9 /dev/c0d4p2s1
   137 brw-------   1    3,ca /dev/c0d4p2s2
   138 brw-------   1    3,cb /dev/c0d4p2s3
   139 brw-------   1    3,18 /dev/c0d4p3
   140 brw-------   1    3,cc /dev/c0d4p3s0
   141 brw-------   1    3,cd /dev/c0d4p3s1
   142 brw-------   1    3,ce /dev/c0d4p3s2
   143 brw-------   1    3,cf /dev/c0d4p3s3
   144 brw-------   1    3,19 /dev/c0d5
   145 brw-------   1    3,1a /dev/c0d5p0
   146 brw-------   1    3,d0 /dev/c0d5p0s0
   147 brw-------   1    3,d1 /dev/c0d5p0s1
   148 brw-------   1    3,d2 /dev/c0d5p0s2
   149 brw-------   1    3,d3 /dev/c0d5p0s3
   150 brw-------   1    3,1b /dev/c0d5p1
   151 brw-------   1    3,d4 /dev/c0d5p1s0
   152 brw-------   1    3,d5 /dev/c0d5p1s1
   153 brw-------   1    3,d6 /dev/c0d5p1s2
   154 brw-------   1    3,d7 /dev/c0d5p1s3
   155 brw-------   1    3,1c /dev/c0d5p2
   156 brw-------   1    3,d8 /dev/c0d5p2s0
   157 brw-------   1    3,d9 /dev/c0d5p2s1
   158 brw-------   1    3,da /dev/c0d5p2s2
   159 brw-------   1    3,db /dev/c0d5p2s3
   160 brw-------   1    3,1d /dev/c0d5p3
   161 brw-------   1    3,dc /dev/c0d5p3s0
   162 brw-------   1    3,dd /dev/c0d5p3s1
   163 brw-------   1    3,de /dev/c0d5p3s2
   164 brw-------   1    3,df /dev/c0d5p3s3
